Date,National Whatever Day,Associated Challenge,,,,,Resources: description,Resources: link
1-Jan,New Year's Day,Make a New Year's resolution - and keep it!,,,,,An online to-do list to manage your goals,https://todoist.com/
2-Jan,Run it up the Flagpole and See If Anyone Salutes It Day,Do something new that you've been wanting to do for a long time,,,,,Benefits of doing new things,http://www.beliefnet.com/columnists/everydayinspiration/2014/03/the-benefits-of-trying-new-things.html
3-Jan,Festival of Sleep Day,Take a nap,,,,,Benefits to napping,https://michaelhyatt.com/why-you-should-take-a-nap-every-day.html
4-Jan,Trivia Day,Learn something new,,,,,A website with interesting information,http://www.todayifoundout.com/
5-Jan,Bird Day,Go bird watching,,,,,A nonprofit devoted to helping birds,https://helpwildbirds.org/
6-Jan,Bean Day,Cook some beans! Eat some beans! Plant some beans!,,,,,Spicy Lentil Soup Recipe,http://www.foodnetwork.com/recipes/food-network-kitchen/spicy-lentil-soup-recipe-1973283
7-Jan,Old Rock Day,Appreciate some fossils in a museum,,,,,Virtual Fossil Museum,http://www.fossilmuseum.net/
8-Jan,National JoyGerm Day,Do a random act of kindness,,,,,Inspirational kindness website,https://www.randomactsofkindness.org/
9-Jan,Word Nerd Day,Learn a new word,,,,,Random word generator,https://www.randomlists.com/random-words
10-Jan,Peculiar People Day,Give someone an unconventional complement.,,,,,Celebrate weirdness!,http://99u.com/articles/42627/the-undeniable-benefits-of-being-weird
11-Jan,National Step in a Puddle and Splash Your Friend Day,Self-explanatory. ;),,,,,Here are some raincoats you can buy from Amazon to prepare yourself,https://www.amazon.com/raincoats/s?ie=UTF8&page=1&rh=i%3Aaps%2Ck%3Araincoats
12-Jan,Feast of Fabulous Wild Men Day,Go on a hike.,,,,,Top 20 American Hiking Trails,https://www.usatoday.com/story/travel/destinations/2014/04/22/best-hiking-trail/7967487/
13-Jan,Make Your Dream Come True Day,Take a step towards completing a New Year's resolution.,,,,,A CNN article about keeping New Year's resolutions,http://www.cnn.com/2017/01/20/health/staying-well-new-year-resolution-mansour/index.html
14-Jan,National Dress Up Your Pet Day,Have a photoshoot with your pet or a friend's!,,,,,"Top 10 Reasons to Dress Up Your Pet, according to Pet MD",http://www.petmd.com/dog/slideshows/training/top-ten-reasons-to-dress-up-your-pet
15-Jan,Hat Day,Wear your most flamboyant hat.,,,,,Various types of hat styles,https://en.wikipedia.org/wiki/List_of_hat_styles
16-Jan,National Nothing Day,Find your inner peace (watch Kung Fu Panda),,,,,Kung Fu Panda!,http://www.dreamworks.com/kungfupanda/?van=http%3A%2F%2Fwww.kungfupanda.com%2F
17-Jan,Ben Franklin's Birthday,Measure how many miles you've driven today.,,,,,Ben Franklin's Odometer,http://www.benfranklin300.org/frankliniana/result.php?id=170&sec=1
18-Jan,Winnie the Pooh Day,Revisit some childhood favorites.,,,,,Disney's Winnie the Pooh,http://winniethepooh.disney.com/
19-Jan,National Popcorn Day,Go watch a movie and order the biggest bucket of popcorn they have,,,,,Don't want to go to a theater? Make your own popcorn!,http://allrecipes.com/recipe/150711/movie-star-popcorn/?internalSource=hn_carousel%2001_Movie%20Star%20Popcorn&referringId=16051&referringContentType=recipe%20hub&referringPosition=carousel%2001
20-Jan,Penguin Awareness Day,Make your friends more aware of penguins. Dress like a penguin and waddle all day,,,,,An organization dedicated to protecting penguins,http://www.pewtrusts.org/en/projects/global-penguin-conservation
21-Jan,National Squirrel Day and National Hugging day,Set up a squirrel feeder or hug 5 people you wouldn't normally hug. (Bonus: hug a squirrel),,,,,A site devoted to the safety of North American squirrels,http://squirrelconservation.org/
22-Jan,National Blonde Brownie Day,Bake some blonde brownies!,,,,,A highly rated recipe for Blonde Brownies,http://allrecipes.com/recipe/10177/blonde-brownies-i/
23-Jan,National Pie Day,Eat some pie!,,,,,Old Fashioned Strawberry Pie Recipe,http://allrecipes.com/recipe/12468/old-fashioned-strawberry-pie/?internalSource=hn_carousel%2001_Old-Fashioned%20Strawberry%20Pie&referringId=367&referringContentType=recipe%20hub&referringPosition=carousel%2001
24-Jan,National Compliment Day,Give someone a genuine compliment,,,,,The benefits of complimenting,https://www.forbes.com/sites/daviddisalvo/2012/11/09/study-receiving-a-compliment-has-same-positive-effect-as-receiving-cash/#7acfae976007
25-Jan,Opposite Day,Eat your meals backward: eat dinner for breakfast and breakfast for dinner!,,,,,Here's a recipe for brunch!,http://www.food.com/recipe/breakfast-casserole-42818?layout=desktop
26-Jan,National Clean Out Your Inbox Week (Jan 22-29),Try to process the emails in your inbox and finish tasks you've been putting off,,,,,A company that will help you maintain a clean inbox,https://mailstrom.co/
27-Jan,International Day of Commemoration in Memory of the Victims of the Holocaust,Set aside time in your day to have a moment of silence for victims of the Holocaust,,,,,Information on the Holocaust,http://www.history.com/topics/world-war-ii/the-holocaust
28-Jan,National Kazoo Day,Play a kazoo,,,,,National Kazoo Day!,http://nationalkazooday.com/
29-Jan,National Cornchip Day,Eat some cornchips!,,,,,Make some corn chips at home,http://www.food.com/recipe/corn-chips-from-scratch-354134
30-Jan,National Croissant Day,Visit a bakery cafe and eat some pasteries,,,,,Croissant Recipe,http://allrecipes.com/recipe/190997/traditional-layered-french-croissants/
31-Jan,National Hot Chocolate Day,Make yourself a mug of hot chocolate,,,,,Hot Chocolate Recipe,http://allrecipes.com/recipe/20211/creamy-hot-cocoa/
1-Feb,Serpent Day,Snakes are associated with wisdom and cunning; think about previous events in your life and consider how this experience can help you in the future,,,,,Information about snakes,https://www.livescience.com/27845-snakes.html
2-Feb,National Groundhog Day,Watch Punxsutawney Phil on the news,,,,,Punxsutawney Phil's website,http://www.groundhog.org/
3-Feb,National Wear Red Day,Wear red to bring awareness to heart disease,,,,,The American Heart Association,http://www.heart.org/HEARTORG/
4-Feb,National Homemade Soup Day,Make some homemade soup!,,,,,Homemade Chicken Noodle Soup Recipe,http://www.countryliving.com/food-drinks/recipes/a1870/homemade-chicken-noodle-soup-3996/
5-Feb,National Weatherperson Day,Watch the weather channel,,,,,Check the weather here:,https://weather.com/
6-Feb,Lame Duck Day,Read the Constitution ,,,,,An online version of the Constitution,https://usconstitution.net/const.html
7-Feb,Charles Dickens Day,Read a book by Charles Dickens!,,,,,Charles Dickens' website,http://www.charles-dickens.org/
8-Feb,Kite Flying Day,Go to the park and fly a kite with some friends,,,,,A tutorial for how to fly kites,https://kites.com/how-to-fly-a-kite
9-Feb,Toothache Day,Make sure you have an appointment with your dentist to prevent against toothaches!,,,,,Common symptoms for toothaches,http://www.nyp.org/morganstanley
10-Feb,Umbrella Day,Take an umbrella with you when you walk outside!,,,,,Will it rain today? Check the weather!,https://weather.com/
11-Feb,White Tee-Shirt Day,Wear a white shirt,,,,,Need a white shirt? Amazon has plenty!,https://www.amazon.com/white-shirt/s?ie=UTF8&page=1&rh=i%3Aaps%2Ck%3Awhite%20shirt
12-Feb,Lincoln's Birthday,Spend a penny and thank Lincoln,,,,,Learn about the history of the Lincoln Penny here,https://www.thespruce.com/history-of-the-lincoln-cent-768785
13-Feb,National Italian Food Day,Eat some Italian cuisine,,,,,Here's a recipe for Italian spaghetti,http://allrecipes.com/recipe/19356/spaghetti-italian/
14-Feb,Valentine's Day!,Tell someone you love them,,,,,Where did Valentine's Day come from? Learn about it here!,http://www.history.com/topics/valentines-day
15-Feb,Susan B Anthony Day,"Even if you're not a Floridian, celebrate Susan B Anthony and her contributions to women's suffrage by reading the 19th Amendment",,,,,Read a biography of Susan B Anthony,http://susanbanthonyhouse.org/her-story/biography.php
16-Feb,Do a Grouch a Favor Day,Make the world a better place by doing something nice for a grouch,,,,,Check out one of literature's most famous grouches: Scrooge!,https://en.wikipedia.org/wiki/Ebenezer_Scrooge
17-Feb,National Random Acts of Kindness Day,Do a random act of kindness or volunteer your time to a non-profit organization,,,,,Be inspired by random acts of kindness documented here,https://www.randomactsofkindness.org/
18-Feb,National Battery Day,Make a list of five things you use on a daily basis that require batteries,,,,,"Learn about Alessandro Volta, inventor of the electrical battery",https://en.wikipedia.org/wiki/Alessandro_Volta
19-Feb,National Chocolate Mint Day,Eat something with choclate mint,,,,,Make yourself some chocolate mint candy!,https://www.tasteofhome.com/recipes/chocolate-mint-candy
20-Feb,Hoodie Hoo Day!!!,"Go out at noon, wave your hands over your head, and chant ""Hoodie-Hoo!"" When anyone asks you what you're doing, look them in the eyes and whisper ""Hoodie-Hoo""",,,,,Become inspired by other people's Hoodie-Hoo's!,http://people.com/celebrity/national-hoodie-hoo-day-is-february-20/
21-Feb,International Mother Language Day,Learn a phrase in another language,,,,,Need to translate something? Use Google Translate,https://translate.google.com/
22-Feb,Be Humble Day,Be humble! Congratulate others on their accomplishments and don't brag about your own,,,,,"To remind yourself of the importance of humility, listen to Kendrick Lamar",https://www.youtube.com/watch?v=tvTRZJ-4EyI
23-Feb,International Dog Biscuit Appreciation Day,"Pet a dog, and if you have one, feed your dog a treat",,,,,Try your hand at making dog biscuits!,http://tastykitchen.com/recipes/homemade-ingredients/homemade-dog-treats/
24-Feb,National Tortilla Chip Day,"Have some tortilla chips! If you'd like, have some salsa with them too!",,,,,Homemade tortilla chip recipe,http://www.simplyrecipes.com/recipes/how_to_make_homemade_tortilla_chips/
25-Feb,National Clam Chowder Day,Try some authentic New England Clam Chowder!,,,,,Make some clam chowder!,http://allrecipes.com/recipe/13041/my-best-clam-chowder/
26-Feb,National Pistachio Day,Eat some pistachios! ,,,,,Make yourself some pistachio biscotti!,https://www.bettycrocker.com/recipes/pistachio-biscotti/17fd3fbf-d09f-47e1-9978-e0eecddee15a#!
27-Feb,International Polar Bear Day,"Learn about global warming and ways to prevent it. If you're able to, donate some time or money to help polar bears in the wild",,,,,Save our polar bears!,http://polarbearsinternational.org/get-involved
28-Feb,International Pancake Day,Make some pancakes!,,,,,Make some Good Old Fashioned Pancakes from Scratch!,http://allrecipes.com/recipe/21014/good-old-fashioned-pancakes/
Leap Day!,Leap Day!,Free day! Leap around for joy,,,,,The history of leap day,http://www.history.com/news/all-about-leap-day
1-Mar,"National ""DADGUM That's Good!"" Day","Shout ""DADGUM That's Good!"" after everything you eat",,,,,#DadgumThatsGoodDay,https://twitter.com/hashtag/DadgumThatsGoodDay
2-Mar,Old Stuff Day,Go antiquing and buy a random object,,,,,Look for local antique shops,https://www.google.com/search?safe=strict&site=&source=hp&q=antique+shops+near+me&oq=antique+sh&gs_l=psy-ab.3.0.0j0i131k1j0l2.691.2859.0.4108.17.12.3.0.0.0.156.1162.10j2.12.0....0...1.1.64.psy-ab..2.15.1169.0..0i10k1.MMYmW5RLShQ
3-Mar,National Anthem Day,Listen to the national anthem. Bonus points: Randomly burst into song in public,,,,,Here are lyrics to our national anthem,http://www.usa-flag-site.org/song-lyrics/star-spangled-banner/
4-Mar,National Grammar Day,Pay special attention to your grammar and punctuation today when you're writing and speaking!,,,,,A website dedicated to grammar,http://www.grammar.com/
5-Mar,National Cheez Doodle Day,Eat some Cheez Doodles!,,,,,Here's the Wikipedia page describing Cheez Doodles,https://en.wikipedia.org/wiki/Cheez_Doodles
6-Mar,National Frozen Food Day,Pick out something from your freezer to eat today,,,,,24 Easy Freezer Recipes:,http://www.southernliving.com/food/whats-for-supper/freezer-friendly-recipes
7-Mar,Alexander Graham Bell Day,Make a phone call to a loved one,,,,,Alexander Graham Bell's bio,https://www.biography.com/people/alexander-graham-bell-9205497
8-Mar,International Women's Day,Take today to say thank you to three strong women in your life,,,,,The Interntational Women's Day's Website,https://www.internationalwomensday.com/
9-Mar,National Panic Day,Reflect on stressors in your life. Take some time to make a list of these items and create proactive ways to prevent against panic,,,,,Looking for a way to panic less? Try these exercises,http://www.calmclinic.com/anxiety/treatment/breathing-exercises
10-Mar,International Day of Awesomeness,Be awesome and thank someone else for being awesome too!,,,,,International Day of Awesomeness website,http://dayofawesomeness.com/
11-Mar,Johnny Appleseed Day,Eat an apple!,,,,,Johnny Appleseed's biography,https://www.biography.com/people/johnny-appleseed-38103#!
12-Mar,Alfred Hitchcock Day,Watch an Alfred Hitchcock film ,,,,,A list of Hitchcock films to choose from:,http://www.mysterynet.com/hitchcock/filmography/
13-Mar,National Good Samaritan Day,Go out of your way to do something kind for a stranger,,,,,An article about Good Samaritan Day,http://metro.co.uk/2017/03/13/national-good-samaritan-day-how-to-be-a-good-samaritan-and-get-involved-6506858/
14-Mar,National Potato Chip Day,Eat some chips!,,,,,Homemade Potato Chips Recipe,http://allrecipes.com/recipe/73135/homestyle-potato-chips/
15-Mar,Everything You Think is Wrong Day,"Avoid using the phrase ""I think"" for the entire day",,,,,Everything you think is wrong. Question everything. ,http://time.com/collection/question-everything/
16-Mar,Everything You Do Is Right Day,Don't doubt yourself! Trust your instinct and go for it,,,,,"Bustle's explanation of ""Everything You Do Is Right Day""",https://www.bustle.com/p/what-is-everything-you-do-is-right-day-how-to-take-advantage-of-this-national-celebration-44874
17-Mar,St Patrick's Day,Wear something green today!,,,,,Background on St Patrick's Day,https://en.wikipedia.org/wiki/Saint_Patrick%27s_Day
18-Mar,National Supreme Sacrifice Day,"Honor our veterans over social media, in person, or by visiting their graves",,,,,Examples of historical supreme sacrifices,http://www.sparkpeople.com/mypage_public_journal_individual.asp?blog_id=5290560
19-Mar,Poultry Day,Have some poultry,,,,,Slow-Cooker Chicken Recipe,http://allrecipes.com/recipe/65896/zesty-slow-cooker-chicken-barbecue/?internalSource=streams&referringId=201&referringContentType=recipe%20hub&clickId=st_trending_s
20-Mar,International Day of Happiness,Smile!,,,,,The International Day of Happiness website,http://www.dayofhappiness.net/
21-Mar,Fragrance Day,Create a list of three scents you enjoy,,,,,A list of perfumes compiled by Wikipedia,https://en.wikipedia.org/wiki/List_of_perfumes
22-Mar,National Goof-off Day,Don't take yourself too seriously! Be goofy and make someone laugh,,,,,America's Funniest Home Videos! ,http://afv.com/
23-Mar,National Organize Your Home Office Day,Clean your home office and organize your room,,,,,HGTV article about organizing ,http://www.hgtv.com/design/decorating/clean-and-organize/10-steps-to-an-organized-home-office
24-Mar,World Tuberculosis Day,Help raise awareness about TB by telling three other people about the effects of this global epidemic,,,,,Information on the TB epidemic,http://tbepidemic.org/
25-Mar,National Medal of Honor Day,Learn something new either about the Medal of Honor itself or about a previous Medal of Honor recipient,,,,,List of Medal of Honor Recipients,https://en.wikipedia.org/wiki/List_of_Medal_of_Honor_recipients
26-Mar,Purple Day,Increase awareness of epilepsy by wearing purple or lavender,,,,,"The Epilepsy Foundation, dedicated to fighting epilepsy",http://www.epilepsy.com/
27-Mar,National Joe Day,"Share a cup of ""joe"" with any friend named Joe, Jo, Joey, Joseph, Johanna, Jodie, or any other variant of the name ""Joe""",,,,,#nationaljoeday,https://twitter.com/hashtag/nationaljoeday
28-Mar,Respect Your Cat Day,"Give your cat a bit of special attention today! If you're not the proud owner of a cat, visit a local no-kill feline shelter and donate time, money or love to its residents",,,,,Adopt cats from the ASPCA!,https://www.aspca.org/nyc/aspca-adoption-center/adoptable-cats
29-Mar,National Vietnam War Veterans Day,Thank our nation's veterans with a moment of silence for the men and women who made the ultimate sacrifice in the name of democracy,,,,,Background on the Vietnam War,http://www.history.com/topics/vietnam-war
30-Mar,National Doctors' Day,Make sure you have your annual checkup scheduled with your physician!,,,,,National Doctors Day website,http://www.doctorsday.org/
31-Mar,International Transgender Day of Visibility ,Post or like something on social media related to transgender rights to encourage acceptance of transgender individuals,,,,,An article about transgender individuals,http://www.apa.org/topics/lgbt/transgender.aspx
1-Apr,April Fool's Day!,Play a fun prank!,,,,,Prank ideas!,http://www.boredpanda.com/pranks-april-fools-day/
2-Apr,National Peanut Butter and Jelly Day,Make yourself a peanut butter and jelly sandwich!,,,,,The history of America's favorite lunch,https://whatscookingamerica.net/History/Sandwiches/PeanutButterJellySandwich.htm
3-Apr,World Party Day,Plan a fun outing with friends,,,,,Buy some party supplies!,http://www.partycity.com/home.do
4-Apr,National Day of Protest,"Learn about a controversial cause and develop an opinion based on facts and evidence, not on opinions and popular belief",,,,,An unbiased website that will help you collect facts on controversial issues,http://www.procon.org/
5-Apr,National Walking Day,"Instead of driving, walk somewhere today!",,,,,"An article about parents walking their kids to school, rather than using vehicuar transportation",http://www.thespectrum.com/story/news/2015/08/19/walk-dont-drive/32020483/
6-Apr,National Burrito Day,Eat a burrito!,,,,,Burrito recipe,https://www.tasteofhome.com/recipes/tasty-burritos.aspx
7-Apr,World Health Day,Prepare a first-aid kit in case of a medical emergency,,,,,World Health Organization,http://www.who.int/en/
8-Apr,National Day of Action,Call your local representative about an issue you feel strongly about,,,,,Search for your local representative here,https://www.house.gov/representatives/find/
9-Apr,National Unicorn Day,Be spontaneous and act like you have magical powers,,,,,Why not make some unicorn poop truffles?,https://princesspinkygirl.com/unicorn-poop-truffles/
10-Apr,National Sibling Day,"Call your siblings! (If you're an only child, call your best friend instead!)",,,,,A great NY Times article about siblings,http://www.nytimes.com/2013/05/26/opinion/sunday/bruni-the-gift-of-siblings.html
11-Apr,National Pet Day,"Spend some quality time with your pet! (If you don't have a pet, spend some time with the animals at your local no-kill shelter)",,,,,Adopt a pet!,http://www.adoptapet.com/
12-Apr,Grilled Cheese Sandwich Day,Make yourself a grilled cheese! Enjoy!,,,,,Grilled Cheese Recipe,http://www.foodnetwork.com/recipes/tyler-florence/grilled-cheese-recipe-1947761#!
13-Apr,Scrabble Day,Play a game of scrabble!,,,,,History of Scrabble,http://www.wordplays.com/help/history-of-scrabble/
14-Apr,National Dolphin Day,Learn an interesting fact about dolphins and how you can play your part in conservation of these animals,,,,,Support the Dolphin Research Center!,https://dolphins.org/
15-Apr,National Rubber Eraser Day,Erase something today with a rubber eraser!,,,,,Where did the rubber eraser come from?,http://www.historyofinformation.com/expanded.php?id=1591
16-Apr,Emancipation Day,Take a few minutes today to be grateful for your freedom ,,,,,Learn about the Emancipation Proclamation,http://www.emancipationproclamation.org/
17-Apr,National Haiku Poetry Day,Write a haiku and share it with a friend,,,,,Write a haiku!,http://writeahaiku.com/
18-Apr,International Day for Monuments and Sites,Visit a nearby monument or site with historical significance.,,,,,Visit a site listed on this Wikipedia page,https://en.wikipedia.org/wiki/List_of_National_Monuments_of_the_United_States
19-Apr,National Hanging Out Day,"The next time you do laundry, hang your clothes to dry on a clothesline rather than using a dryer",,,,,Types of ways to hang out clothes,https://www.treehugger.com/culture/national-hanging-out-day-5-ways-to-dry-with-solar-and-wind-energy.html
20-Apr,National Look Alike Day,"Mimic a friend by coordinating outfits, activities and behaviors!",,,,,Here's a somewhat related festival that happens in Ohio called Twins Days!,http://www.twinsdays.org/
21-Apr,National Day of Silence,Raise awareness about obstacles the LGBTQ community face by participating in the day of silence,,,,,Background on the Day of Silence,http://gsanetwork.org/resources/gsa-actions-events/day-silence
22-Apr,International Mother Earth Day,"Be Earth friendly! Walk, don't drive; pick up some trash; and shut off electrical appliances when you aren't using them",,,,,A website dedicated to preserving Mother Nature,http://www.earthday.org/
23-Apr,English Language Day,Learn a new fact about the English language and explore the etymology of your favorite word(s),,,,,An interesting online etymology dictionary,http://etymonline.com/
24-Apr,World Day for Laboratory Animals,Raise awareness for the conditions of lab animals by posting on social media or talking to a friend,,,,,An international journal promoting the humane treatment of lab animals,http://journals.sagepub.com/home/lan/
25-Apr,World Malaria Day,Support efforts to eradicate malaria by making a donation,,,,,A website dedicated to eradicating malaria,https://www.malarianomore.org/
26-Apr,National Pretzel Day,Eat a pretzel!,,,,,Pretzel recipe!,http://allrecipes.com/recipe/24272/buttery-soft-pretzels/
27-Apr,Tell a Story Day,Tell someone a story and listen to someone else's story,,,,,Learn how to tell a good story here,https://www.forbes.com/sites/work-in-progress/2013/12/11/how-to-tell-a-good-story/
28-Apr,World Day for Safety and Health at Work,"Review the sexual assault and harassment policy of your school/workplace to be informed on how to best ensure a safe, healthy work environment",,,,,Information about reporting sexual assault,https://www.rainn.org/reporting-and-criminal-justice-system
29-Apr,International Dance Day,Have some fun today dancing with friends,,,,,There are also many kinds of dancing. Learn more about them here,https://www.thoughtco.com/types-of-dance-1007456
30-Apr,International Jazz Day,Listen to a few jazz songs,,,,,A jazz radio,https://www.jazzradio.com/
1-May,Mother Goose Day,Read some nursery rhymes.,,,,,Examples of rhymes.,http://www.rhymes.org.uk/
2-May,Fire Day,Light a scented candle.,,,,,Where to get candles.,https://www.amazon.com/scented-candles/b?ie=UTF8&node=3734451
3-May,Lumpy Rug Day,Do some spring cleaning.,,,,,Renting a rug cleaner.,https://www.rugdoctor.com/rent-location/
4-May,Star Wars Day,Watch your favorite Star Wars movie.,,,,,Rent Star Wars online.,https://www.google.com/search?q=watch+star+wars&oq=watch+sta&aqs=chrome.1.69i57j0l5.12176j0j7&sourceid=chrome&ie=UTF-8
5-May,National Hoagie Day,"Eat a Hoagie, Sub, Gyro, etc...",,,,,Subway.,subway.com
6-May,National Beverage Day,Treat yourself to your favorite drink.,,,,,Drink Recipes.,http://allrecipes.com/recipes/77/drinks/
7-May,International Tuba Day,Listen to your favorite march.,,,,,March examples.,
8-May,No Socks Day ,Don't wear any socks. ,,,,,,
9-May,Lost Sock Memorial Day,"After yesterday, remember how good it feels to wear socks.",,,,,,
10-May,Clean Your Room Day,Make Your Room Spotless!,,,,,,
11-May,Eat What You Want Day,Have your favorite dessert.,,,,,,
12-May,Limerick Day,Write your very own limerick.,,,,,,
13-May,International Hummus Day,Eat some hummus!,,,,,,
14-May,National Dance Like A Chicken Day,Do the chicken dance in front of all your friends.,,,,,,
15-May,Dinosaur Day,Learn a new fact about dinosaurs.,,,,,,
16-May,Love A Tree Day,Hug your favorite tree.,,,,,,
17-May,National Mushroom Hunting Day,Go for a walk and take a picture of the coolest mushroom you can find. (Don't eat it!),,,,,,
18-May,National Visit Your Relatives Day ,Visit a relative you haven't seen in a while.,,,,,,
19-May,Frog Jumping Jubilee Day,Play leapfrog!,,,,,,
20-May,Flower Day,Give someone the prettiest flower you can find.,,,,,,
21-May,Waitstaff Day,Thank a waiter or waitress for what they do.,,,,,,
22-May,National Maritime Day,Visit the sea and have a Mar-i-time!,,,,,,
23-May,Penny Day,Give someone a penny. No explanation.,,,,,,
24-May,Scavenger Hunt Day,Go on a scavenger hunt!,,,,,,
25-May,Towel Day,"Say this loudly within earshot of at least one other person: ""Thank You Towels!!""",,,,,,
26-May,National Gray Day,Make a drawing only in pencil.,,,,,,
27-May,Sunscreen Protection Day,Slather on the sunscreen before you go out today.,,,,,,
28-May,National Hamburger Day,"Eat a burger! beef, veggie, whatever.",,,,,,
29-May,Put A Pillow On Your Fridge Day,...Put a pillow on your fridge.,,,,,,
30-May,National Hole In My Bucket Day,Listen to the song.,,,,,,
31-May,National Macaroon Day,"Make some macaroons! (Those are the ones with coconut, and are not French.)",,,,,,
1-Jun,Dare Day,Play Dare or Dare. (Like Truth or Dare but offer two dares),,,,,,
2-Jun,National Rocky Road Day,Eat some rocky road ice cream!,,,,,,
